ranking,name,School,State,City,position,height,weight,stars,rating,college
75,Craig Ochs,Fairview,CO,Boulder,PRO,44349,205,4,0.9739,Colorado
76,Carlyle Holiday,Roosevelt,TX,San Antonio,WR,44350,185,4,0.9739,Notre Dame
77,Michael Boulware,Spring Valley,SC,Columbia,OLB,44350,200,4,0.9737,Florida State
78,Justin Hinds,Piscataway Twp,NJ,Piscataway,SDE,44351,265,4,0.9733,Boston College
79,Tyrell Dortch,Hoboken,NJ,Hoboken,RB,36678,195,4,0.9725,Michigan State
80,Karlton Neal,Morgan Park,IL,Chicago,WDE,44352,235,4,0.9723,Tennessee
81,Sean Poole,Central Commencement Academy,MI,Flint,OT,44354,285,4,0.9719,Michigan State
82,Rashad Baker,Woodrow Wilson,NJ,Camden,S,36678,185,4,0.9717,Tennessee
83,Will Smith,Thomas R Proctor,NY,Utica,WDE,44351,230,4,0.9715,Ohio State
84,Keith Kelly,Colleton County,SC,Walterboro,RB,36678,205,4,0.9715,Clemson
85,Tony Johnson,State College Area,PA,State College,RB,44348,205,4,0.9709,Penn State
86,Zac Wasserman,Westlake,CA,Thousand Oaks,PRO,44351,203,4,0.9707,Penn State
87,Darius Jones,Memorial,WI,Beloit,ILB,44351,250,4,0.9703,Wisconsin
88,Brooks Daniels,Hamilton County,FL,Jasper,OLB,44350,200,4,0.9699,Alabama
89,Erik Noll,Watkins Mill,MD,Gaithersburg,OT,44352,292,4,0.9683,Penn State
90,Quinn Sypniewski,Johnston Senior,IA,Johnston,TE,44354,255,4,0.9683,Colorado
91,Kelvin Kight,Lithonia,GA,Lithonia,WR,36678,185,4,0.9679,Florida
92,Bo Mosley,Osceola,AR,Osceola,CB,44326,160,4,0.9679,Arkansas
93,Andrew Walter,Grand Junction,CO,Grand Junction,PRO,44352,205,4,0.9671,Arizona State
94,Brandon Sumner,Mainland,FL,Daytona Beach,PRO,44352,220,4,0.9667,Georgia Tech
95,Vince Wilfork,Santaluces Community,FL,Lake Worth,DT,44348,310,4,0.9667,Miami
96,Mike Goolsby,Joliet Catholic Academy,IL,Joliet,ILB,44351,225,4,0.9663,Notre Dame
97,Derron Parquet,Archbishop Rummel,LA,Metairie,RB,36678,205,4,0.9659,LSU
98,Diamond Ferri,Everett,MA,Everett,RB,44327,200,4,0.9659,Syracuse
99,Alex Barron,Orangeburg-Wilkinson,SC,Orangeburg,OT,44355,297,4,0.9657,Florida State
100,Sean McHugh,Chagrin Falls,OH,Chagrin Falls,TE,44353,245,4,0.9655,Penn State
101,Bennie Mills,Archbishop Rummel,LA,Metairie,DT,44351,280,4,0.9655,Florida
102,Ben Emanuel,Clear Brook,TX,Friendswood,S,44349,190,4,0.9651,UCLA
103,Willie Green,Osceola,FL,Kissimmee,RB,44325,205,4,0.9647,Florida
104,Chris Kelley,Seneca Valley,MD,Germantown,PRO,44349,205,4,0.9647,Maryland
105,Robert Peace,Ruston,LA,Ruston,ILB,44350,215,4,0.9643,Tennessee
106,Chris Young,South Panola,MS,Batesville,WR,44349,184,4,0.9639,Vanderbilt
107,Ronnie Brown,Cartersville,GA,Cartersville,RB,44348,200,4,0.9631,Auburn
108,Richard Johnson,Milford Mill Academy,MD,Gwynn Oak,WR,36678,170,4,0.9629,Virginia Tech
109,Stephen Williams,Bolingbrook,IL,Bolingbrook,SDE,44350,275,4,0.9627,Indiana
110,John Rattay,Desert Vista,AZ,Phoenix,PRO,44351,215,4,0.9622,Tennessee
111,Tatum Bell,DeSoto,TX,DeSoto,RB,44327,190,4,0.9618,Oklahoma State
112,Maurice Mitchell,Dougherty Comprehensive,GA,Albany,OT,44354,290,4,0.9614,Alabama
113,Jason Peters,Queen City,TX,Queen City,WDE,44352,270,4,0.9614,Arkansas
114,Cameron Wake,DeMatha Catholic,MD,Hyattsville,WDE,44350,258,4,0.961,Penn State
115,Doug Buckles,Madison Central,MS,Madison,OG,44352,275,4,0.961,Ole Miss
116,Jason Witten,Elizabethton,TN,Elizabethton,WDE,44354,265,4,0.9606,Tennessee
117,Lynn McGruder,Cheyenne,NV,North Las Vegas,DT,44350,285,4,0.9606,Tennessee
118,Dustin Picciotti,Central Bucks West,PA,Doylestown,FB,44350,235,4,0.9602,Pittsburgh
119,Marcus White,Theodore,AL,Theodore,SDE,44352,270,4,0.9602,Auburn
120,Nautyn McKay-Loescher,Toronto,OH,Toronto,WDE,44351,240,4,0.9347,Alabama
